The 3 Amigos, 10247 Jasper Avenue, Monday, Margarita $5.99 / Mucho Guacamole $6.99 *All specials available after 2pm.
The 3 Amigos, 10247 Jasper Avenue, Tuesday, House Tequila (1 oz.) $3.99 / 3 Tacos $7.50 *All specials available after 2pm.
The 3 Amigos, 10247 Jasper Avenue, Wednesday, Bulldog “El Grande” $15.99 / Pupusas $2.99 each *All specials available after 2pm.
The 3 Amigos, 10247 Jasper Avenue, Thursday, Beer Buckets (4 Drinks) $19.99 / Nachos $10.99 *All specials available after 2pm.
The 3 Amigos, 10247 Jasper Avenue, Friday, El Patron Shot $4.99 *All specials available after 2pm.

12 Acres, 8 Mission Avenue (St. Albert), Tuesday, Draft $4.50 / Buttermilk Fried Chicken $10
12 Acres, 8 Mission Avenue (St. Albert), Wednesday, Glasses of Wine $1 per oz. (min. purchase of 4 oz. to a max. of 9 oz.)
12 Acres, 8 Mission Avenue (St. Albert), Thursday, Craft Beer Cans $4 / Craft Beer Bottles $5 / Weekly Feature Burger $16
12 Acres, 8 Mission Avenue (St. Albert), Friday, Feature Cocktails $7
12 Acres, 8 Mission Avenue (St. Albert), Saturday, Signature Caesar $7 / Mimosa $6

1st RND, 8882 170 Street (WEM – Bourbon Street) or 11248 104 Avenue, Wednesday: Molson Canadian & Coors Light – 0.5L $5.75 or 1.0L $10.75 / Half Price Wings *Food special available from 6pm to close.

Accent European Lounge, 8223 104 Street, Monday, Draft Beer & Beef Schnitzel $21
Accent European Lounge, 8223 104 Street, Wednesday, Half Price Steak Tartar
Accent European Lounge, 8223 104 Street, Thursday, Half Price Bottles of Wine (5pm to 9pm)

The Alibi Pub, 17328 Stony Plain Road, Weekdays, Beer of the Day Pint (16 oz.) $5.50 *All food and drink deals marked with an asterisk are available from 6pm to 10pm.
The Alibi Pub, 17328 Stony Plain Road, Monday, Lunch – Alibi Burger $12 or Make It a Craft Beer Combo with Any Two Sergeants Pint $16.50 / All Tool Shed Draft $5* / Mac & Cheese $12* *All food and drink deals marked with an asterisk are available from 6pm to 10pm.
The Alibi Pub, 17328 Stony Plain Road, Tuesday, Lunch – Scorched Chicken Tacos $10.25 or Make It a Craft Beer Combo with Any Troubled Monk Pint $14.75 / All Beer on Tap $5* / 2-for 1 Tapas* *All food and drink deals marked with an asterisk are available from 6pm to 10pm.
The Alibi Pub, 17328 Stony Plain Road, Wednesday, Lunch – Brisket Sandwich $12 or Make It a Craft Beer Combo with Any Red Racer Pint $16.50 / Any Wild Rose Draft $5* / Half Price Wings* *All food and drink deals marked with an asterisk are available from 6pm to 10pm.
The Alibi Pub, 17328 Stony Plain Road, Thursday, Lunch – Duck Club Sandwich $12 or Make It a Craft Beer Combo with a Pint of Parallel 49’s Jerkface 9000 $16.50 / Any Troubled Monk Draft $5* / Tacos $3 each *All food and drink deals marked with an asterisk are available from 6pm to 10pm.
The Alibi Pub, 17328 Stony Plain Road, Friday, Lunch – Fish & Chips $12 or Make It a Craft Beer Combo with a Pint of Alexander Keith’s $16.50 / Laid Back Lager $5* / Steak Sandwich with Prawns $17* *All food and drink deals marked with an asterisk are available from 6pm to 10pm.

The Almanac, 10351 82 Avenue, Tuesday, Half Price Bottles of Wine
The Almanac, 10351 82 Avenue, Wednesday, Draught Beer (14 oz.) $5
The Almanac, 10351 82 Avenue, Thursday, Classic Cocktails (2 oz.) $8
The Almanac, 10351 82 Avenue, Saturday, Draught Beer (14 oz.) $4 (11:30am to 4pm)
The Almanac, 10351 82 Avenue, Sunday, Draught Beer (14 oz.) $4 (11:30am to 4pm)

Arcadia Bar, 10988 124 Street, Tuesday, Pints $1 off / Half Price Bottles of Wine / Pizza $2 off (Tuesday to Saturday 4:30pm to 6:30pm)
Arcadia Bar, 10988 124 Street, Wednesday, Pints $1 off / Half Price Bottles of Wine / Pizza $2 off (Tuesday to Saturday 4:30pm to 6:30pm)
Arcadia Bar, 10988 124 Street, Thursday, Pints $1 off / Half Price Bottles of Wine / Pizza $2 off (Tuesday to Saturday 4:30pm to 6:30pm)
Arcadia Bar, 10988 124 Street, Friday, Pints $1 off / Half Price Bottles of Wine / Pizza $2 off (Tuesday to Saturday 4:30pm to 6:30pm)
Arcadia Bar, 10988 124 Street, Saturday, Pints $1 off / Half Price Bottles of Wine / Pizza $2 off (Tuesday to Saturday 4:30pm to 6:30pm)
Arcadia Bar, 10988 124 Street, Tuesday, All Bottles & Cans of Beer $1 off / Pizza $2 off
Arcadia Bar, 10988 124 Street, Wednesday, Half Price Bottles of Wine
Arcadia Bar, 10988 124 Street, Thursday, Pitchers on Special
Arcadia Bar, 10988 124 Street, Friday, All Alberta Gin Highballs $5.50

Atlantic Trap & Gill Pub, 7704 Calgary Trail,Monday, Trap Lager $4 / P.E.I. Mussels 35¢
Atlantic Trap & Gill Pub, 7704 Calgary Trail,Tuesday, Moosehead Pints $4.50 / Shrimp 60¢
Atlantic Trap & Gill Pub, 7704 Calgary Trail,Wednesday, Big Rock $4.50 / Jack Daniels $5 / Wings 40¢
Atlantic Trap & Gill Pub, 7704 Calgary Trail,Thursday, Jager $5 / Jagerbombs $6.50 / Halifax Donair $7
Atlantic Trap & Gill Pub, 7704 Calgary Trail,Friday, All Tall Boys $5.50 / Fireball $5 (cover charge of $5 after 8:30pm)
Atlantic Trap & Gill Pub, 7704 Calgary Trail,Saturday, Lucky Pints $4 / Screech $5 (cover charge of $5 after 8:30pm)
Atlantic Trap & Gill Pub, 7704 Calgary Trail,Sunday, Caesar $4.50 / 2 pc. Fish & Chips $9.95

Baijiu Bar, 10363 104 Street, Tuesday, Classic Cocktails $9 (Tuesday to Saturday 5pm to 7pm)
Baijiu Bar, 10363 104 Street, Wednesday, Classic Cocktails $9 (Tuesday to Saturday 5pm to 7pm)
Baijiu Bar, 10363 104 Street, Thursday, Classic Cocktails $9 (Tuesday to Saturday 5pm to 7pm)
Baijiu Bar, 10363 104 Street, Friday, Classic Cocktails $9 (Tuesday to Saturday 5pm to 7pm)
Baijiu Bar, 10363 104 Street, Saturday, Classic Cocktails $9 (Tuesday to Saturday 5pm to 7pm)
Baijiu Bar, 10363 104 Street, Tuesday, PBR $3 / A Pair of Baos $7

Bar 94 at LUX Steakhouse, 10150 101 Street (Commerce Place), Monday, Premium Well Highballs Select Draught Sleeves and House Red & White Wines (6 oz.) $5 / Bar94 Shares $10 (Monday to Thursday 4pm to 7pm)
Bar 94 at LUX Steakhouse, 10150 101 Street (Commerce Place), Tuesday, Premium Well Highballs Select Draught Sleeves and House Red & White Wines (6 oz.) $5 / Bar94 Shares $10 (Monday to Thursday 4pm to 7pm)
Bar 94 at LUX Steakhouse, 10150 101 Street (Commerce Place), Wednesday, Premium Well Highballs Select Draught Sleeves and House Red & White Wines (6 oz.) $5 / Bar94 Shares $10 (Monday to Thursday 4pm to 7pm)
Bar 94 at LUX Steakhouse, 10150 101 Street (Commerce Place), Thursday, Premium Well Highballs Select Draught Sleeves and House Red & White Wines (6 oz.) $5 / Bar94 Shares $10 (Monday to Thursday 4pm to 7pm)
Bar 94 at LUX Steakhouse, 10150 101 Street (Commerce Place), Tuesday, Sparkling Cocktails & Glasses of Prosecco (6 oz.) $3
Bar 94 at LUX Steakhouse, 10150 101 Street (Commerce Place), Wednesday, Half Price on Listed House Bottles & All Pours of House Wine
Bar 94 at LUX Steakhouse, 10150 101 Street (Commerce Place), Thursday, All Hand-Crafted Cocktails (1 oz.) $2 off / All Hand-Crafted Cocktails (2 oz.) $3 off
Bar 94 at LUX Steakhouse, 10150 101 Street (Commerce Place), Friday, Premium Well Highballs Select Draught Sleeves and House Red & White Wines (6 oz.) $4 / Bar94 Shares $9 (4pm to 7pm)

Bar Bricco, 10347 Jasper Avenue, Wednesday, Negroni $8
Bar Bricco, 10347 Jasper Avenue, Sunday, Complimentary Spuntini (Snacks)

Beer Revolution, 11736 104 Avenue, Happy Hour, 4 Select Beers $5 each / 4 Select Snacks $5 each / Select Wine $5 (Monday to Saturday 4pm to 6pm) *Allotted times for the daily deals listed apply only to the food specials.
Beer Revolution, 11736 104 Avenue, Monday, Alberta Brewery Beers $5.50 / Wings 45¢ (4pm to close) *Allotted times for the daily deals listed apply only to the food specials.
Beer Revolution, 11736 104 Avenue, Tuesday, Brewsters 52nd Street Peach Ale $5.50 / Bavarian Pretzels $3 (6pm to close) *Allotted times for the daily deals listed apply only to the food specials.
Beer Revolution, 11736 104 Avenue, Wednesday, Brewsters Original Lager $5.50 / Truffle Fries $6 (6pm to close) *Allotted times for the daily deals listed apply only to the food specials.
Beer Revolution, 11736 104 Avenue, Thursday, All Bottled Beer on Special / BBQ Beer Ribs $10 (6pm to close) *Allotted times for the daily deals listed apply only to the food specials.
Beer Revolution, 11736 104 Avenue, Friday, Cask Night (new creation tapped at 5pm; while supplies last) *Allotted times for the daily deals listed apply only to the food specials.
